Niri — Focus
Super+Left/Right	Focus column
Super+Up/Down	Focus window
Super+H/J/K/L	Focus (vim)
Super+Home/End	First/last column
Super+1..9	Go to workspace
Super+Shift+1..9	Move to workspace
Super+U/I	Prev/next workspace
Super+Tab	Cycle windows
Super+X	Previous workspace

Niri — Move & Layout
Super+Ctrl+Left/Right/Up/Down	Move window
Super+Ctrl+H/J/K/L	Move window (vim)
Super+Shift+H/J/K/L	Focus monitor
Super+Shift+Ctrl+H/J/K/L	Move to monitor
Super+,	Consume into column
Super+.	Expel from column
Super+BracketLeft/Right	Consume/expel side
Super+R	Cycle column width
Super+Shift+R	Cycle width back
Super+Ctrl+R	Reset height
Super+Ctrl+Shift+R	Cycle height preset
Super+F	Maximize column
Super+Shift+F	Fullscreen
Super+M	Maximize to edges
Super+Ctrl+F	Expand to width
Super+Shift+C	Center column
Super+Minus/Equal	Column width -/+
Super+Shift+Minus/Equal	Window height -/+
Super+Shift+V	Toggle floating
Super+Alt+V	Switch float/tiling focus
Super+T	Tabbed column
Ctrl+Tab / Ctrl+Shift+Tab	Tab switch in column

Niri — System
Super+Shift+E	Quit niri (confirm)
Ctrl+Alt+Delete	Quit niri (confirm)
